Time,Label,Elapsed
"2025-03-10 16:41:41",CP01_AC01_Inventario,634
"2025-03-10 16:41:46",CP01_AC02_Buscar,89
"2025-03-10 16:41:47",CP01_AC01_Inventario,663
"2025-03-10 16:41:50",CP01_AC01_Inventario,592
"2025-03-10 16:41:51",CP02_AC01_NuevaMascota,97
"2025-03-10 16:41:52",CP01_AC02_Buscar,97
"2025-03-10 16:41:53",CP01_AC01_Inventario,644
"2025-03-10 16:41:55",CP01_AC02_Buscar,95
"2025-03-10 16:41:56",CP01_AC01_Inventario,442
"2025-03-10 16:41:56",CP01_AC01_Inventario,440
"2025-03-10 16:41:57",CP02_AC01_NuevaMascota,92
"2025-03-10 16:41:58",CP01_AC02_Buscar,93
"2025-03-10 16:41:59",CP01_AC01_Inventario,383
"2025-03-10 16:42:00",CP02_AC01_NuevaMascota,88
"2025-03-10 16:42:01",CP01_AC02_Buscar,92
"2025-03-10 16:42:01",CP01_AC02_Buscar,90
"2025-03-10 16:42:02",CP01_AC01_Inventario,456
"2025-03-10 16:42:02",CP01_AC01_Inventario,701
"2025-03-10 16:42:03",CP02_AC01_NuevaMascota,103
"2025-03-10 16:42:04",CP01_AC02_Buscar,92
"2025-03-10 16:42:05",CP01_AC01_Inventario,405
"2025-03-10 16:42:05",CP01_AC01_Inventario,620
"2025-03-10 16:42:06",CP02_AC01_NuevaMascota,96
"2025-03-10 16:42:06",CP02_AC01_NuevaMascota,95
"2025-03-10 16:42:07",CP01_AC02_Buscar,91
"2025-03-10 16:42:07",CP01_AC02_Buscar,171
"2025-03-10 16:42:08",CP01_AC01_Inventario,426
"2025-03-10 16:42:08",CP01_AC01_Inventario,413
"2025-03-10 16:42:09",CP02_AC01_NuevaMascota,92
"2025-03-10 16:42:10",CP01_AC02_Buscar,88
"2025-03-10 16:42:10",CP01_AC02_Buscar,90
"2025-03-10 16:42:11",CP01_AC01_Inventario,412
"2025-03-10 16:42:11",CP01_AC01_Inventario,375
"2025-03-10 16:42:11",CP01_AC01_Inventario,485
"2025-03-10 16:42:12",CP02_AC01_NuevaMascota,110
"2025-03-10 16:42:12",CP02_AC01_NuevaMascota,103
"2025-03-10 16:42:13",CP01_AC02_Buscar,100
"2025-03-10 16:42:13",CP01_AC02_Buscar,94
"2025-03-10 16:42:14",CP01_AC01_Inventario,422
"2025-03-10 16:42:14",CP01_AC01_Inventario,360
"2025-03-10 16:42:15",CP02_AC01_NuevaMascota,103
"2025-03-10 16:42:15",CP02_AC01_NuevaMascota,99
"2025-03-10 16:42:16",CP01_AC02_Buscar,97
"2025-03-10 16:42:16",CP01_AC02_Buscar,87
"2025-03-10 16:42:16",CP01_AC02_Buscar,104
"2025-03-10 16:42:17",CP01_AC01_Inventario,420
"2025-03-10 16:42:17",CP01_AC01_Inventario,366
"2025-03-10 16:42:17",CP01_AC01_Inventario,399
"2025-03-10 16:42:18",CP02_AC01_NuevaMascota,107
"2025-03-10 16:42:18",CP02_AC01_NuevaMascota,106
"2025-03-10 16:42:19",CP01_AC02_Buscar,89
"2025-03-10 16:42:19",CP01_AC02_Buscar,90
"2025-03-10 16:42:20",CP01_AC01_Inventario,867
"2025-03-10 16:42:20",CP01_AC01_Inventario,421
"2025-03-10 16:42:20",CP01_AC01_Inventario,548
"2025-03-10 16:42:21",CP02_AC01_NuevaMascota,109
"2025-03-10 16:42:21",CP02_AC01_NuevaMascota,91
"2025-03-10 16:42:21",CP02_AC01_NuevaMascota,116
"2025-03-10 16:42:22",CP01_AC02_Buscar,94
"2025-03-10 16:42:22",CP01_AC02_Buscar,96
"2025-03-10 16:42:22",CP01_AC02_Buscar,124
"2025-03-10 16:42:23",CP01_AC01_Inventario,371
"2025-03-10 16:42:23",CP01_AC01_Inventario,430
"2025-03-10 16:42:23",CP01_AC01_Inventario,415
"2025-03-10 16:42:24",CP02_AC01_NuevaMascota,136
"2025-03-10 16:42:24",CP02_AC01_NuevaMascota,99
"2025-03-10 16:42:25",CP01_AC02_Buscar,91
"2025-03-10 16:42:25",CP01_AC02_Buscar,107
"2025-03-10 16:42:25",CP01_AC02_Buscar,94
"2025-03-10 16:42:26",CP01_AC01_Inventario,379
"2025-03-10 16:42:26",CP01_AC01_Inventario,365
"2025-03-10 16:42:26",CP01_AC01_Inventario,359
"2025-03-10 16:42:26",CP01_AC01_Inventario,367
"2025-03-10 16:42:27",CP02_AC01_NuevaMascota,100
"2025-03-10 16:42:27",CP02_AC01_NuevaMascota,88
"2025-03-10 16:42:27",CP02_AC01_NuevaMascota,89
"2025-03-10 16:42:28",CP01_AC02_Buscar,87
"2025-03-10 16:42:28",CP01_AC02_Buscar,117
"2025-03-10 16:42:28",CP01_AC02_Buscar,90
"2025-03-10 16:42:29",CP01_AC01_Inventario,417
"2025-03-10 16:42:29",CP01_AC01_Inventario,439
"2025-03-10 16:42:29",CP01_AC01_Inventario,512
"2025-03-10 16:42:30",CP02_AC01_NuevaMascota,96
"2025-03-10 16:42:30",CP02_AC01_NuevaMascota,106
"2025-03-10 16:42:30",CP02_AC01_NuevaMascota,99
"2025-03-10 16:42:31",CP01_AC02_Buscar,88
"2025-03-10 16:42:31",CP01_AC02_Buscar,91
"2025-03-10 16:42:31",CP01_AC02_Buscar,109
"2025-03-10 16:42:31",CP01_AC02_Buscar,90
"2025-03-10 16:42:32",CP01_AC01_Inventario,383
"2025-03-10 16:42:32",CP01_AC01_Inventario,437
"2025-03-10 16:42:32",CP01_AC01_Inventario,364
"2025-03-10 16:42:32",CP01_AC01_Inventario,364
"2025-03-10 16:42:33",CP02_AC01_NuevaMascota,98
"2025-03-10 16:42:33",CP02_AC01_NuevaMascota,88
"2025-03-10 16:42:33",CP02_AC01_NuevaMascota,100
"2025-03-10 16:42:34",CP01_AC02_Buscar,87
"2025-03-10 16:42:34",CP01_AC02_Buscar,103
"2025-03-10 16:42:34",CP01_AC02_Buscar,88
"2025-03-10 16:42:35",CP01_AC01_Inventario,358
"2025-03-10 16:42:35",CP01_AC01_Inventario,395
"2025-03-10 16:42:35",CP01_AC01_Inventario,438
"2025-03-10 16:42:35",CP01_AC01_Inventario,597
"2025-03-10 16:42:36",CP02_AC01_NuevaMascota,107
"2025-03-10 16:42:36",CP02_AC01_NuevaMascota,87
"2025-03-10 16:42:36",CP02_AC01_NuevaMascota,90
"2025-03-10 16:42:36",CP02_AC01_NuevaMascota,100
"2025-03-10 16:42:37",CP01_AC02_Buscar,87
"2025-03-10 16:42:37",CP01_AC02_Buscar,87
"2025-03-10 16:42:37",CP01_AC02_Buscar,88
"2025-03-10 16:42:37",CP01_AC02_Buscar,94
"2025-03-10 16:42:38",CP01_AC01_Inventario,356
"2025-03-10 16:42:38",CP01_AC01_Inventario,465
"2025-03-10 16:42:38",CP01_AC01_Inventario,400
"2025-03-10 16:42:38",CP01_AC01_Inventario,474
"2025-03-10 16:42:39",CP02_AC01_NuevaMascota,96
"2025-03-10 16:42:39",CP02_AC01_NuevaMascota,107
"2025-03-10 16:42:39",CP02_AC01_NuevaMascota,96
"2025-03-10 16:42:40",CP01_AC02_Buscar,88
"2025-03-10 16:42:40",CP01_AC02_Buscar,89
"2025-03-10 16:42:40",CP01_AC02_Buscar,89
"2025-03-10 16:42:40",CP01_AC02_Buscar,107
"2025-03-10 16:42:41",CP01_AC01_Inventario,355
"2025-03-10 16:42:41",CP01_AC01_Inventario,361
"2025-03-10 16:42:41",CP01_AC01_Inventario,394
"2025-03-10 16:42:41",CP01_AC01_Inventario,453
"2025-03-10 16:42:41",CP01_AC01_Inventario,360
"2025-03-10 16:42:42",CP02_AC01_NuevaMascota,101
"2025-03-10 16:42:42",CP02_AC01_NuevaMascota,97
"2025-03-10 16:42:42",CP02_AC01_NuevaMascota,105
"2025-03-10 16:42:42",CP02_AC01_NuevaMascota,99
"2025-03-10 16:42:43",CP01_AC02_Buscar,89
"2025-03-10 16:42:43",CP01_AC02_Buscar,90
"2025-03-10 16:42:43",CP01_AC02_Buscar,89
"2025-03-10 16:42:43",CP01_AC02_Buscar,88
"2025-03-10 16:42:44",CP01_AC01_Inventario,439
"2025-03-10 16:42:44",CP01_AC01_Inventario,372
"2025-03-10 16:42:44",CP01_AC01_Inventario,444
"2025-03-10 16:42:44",CP01_AC01_Inventario,380
"2025-03-10 16:42:45",CP02_AC01_NuevaMascota,97
"2025-03-10 16:42:45",CP02_AC01_NuevaMascota,97
"2025-03-10 16:42:45",CP02_AC01_NuevaMascota,114
"2025-03-10 16:42:45",CP02_AC01_NuevaMascota,112
"2025-03-10 16:42:46",CP01_AC02_Buscar,93
"2025-03-10 16:42:46",CP01_AC02_Buscar,89
"2025-03-10 16:42:46",CP01_AC02_Buscar,87
"2025-03-10 16:42:46",CP01_AC02_Buscar,125
"2025-03-10 16:42:46",CP01_AC02_Buscar,88
"2025-03-10 16:42:47",CP01_AC01_Inventario,428
"2025-03-10 16:42:47",CP01_AC01_Inventario,434
"2025-03-10 16:42:47",CP01_AC01_Inventario,413
"2025-03-10 16:42:47",CP01_AC01_Inventario,358
"2025-03-10 16:42:47",CP01_AC01_Inventario,558
"2025-03-10 16:42:48",CP02_AC01_NuevaMascota,98
"2025-03-10 16:42:48",CP02_AC01_NuevaMascota,97
"2025-03-10 16:42:48",CP02_AC01_NuevaMascota,99
"2025-03-10 16:42:48",CP02_AC01_NuevaMascota,95
"2025-03-10 16:42:49",CP01_AC02_Buscar,90
"2025-03-10 16:42:49",CP01_AC02_Buscar,88
"2025-03-10 16:42:49",CP01_AC02_Buscar,89
"2025-03-10 16:42:49",CP01_AC02_Buscar,88
"2025-03-10 16:42:50",CP01_AC01_Inventario,429
"2025-03-10 16:42:50",CP01_AC01_Inventario,431
"2025-03-10 16:42:50",CP01_AC01_Inventario,362
"2025-03-10 16:42:50",CP01_AC01_Inventario,415
"2025-03-10 16:42:50",CP01_AC01_Inventario,458
"2025-03-10 16:42:51",CP02_AC01_NuevaMascota,100
"2025-03-10 16:42:51",CP02_AC01_NuevaMascota,95
"2025-03-10 16:42:51",CP02_AC01_NuevaMascota,101
"2025-03-10 16:42:51",CP02_AC01_NuevaMascota,90
"2025-03-10 16:42:51",CP02_AC01_NuevaMascota,98
"2025-03-10 16:42:52",CP01_AC02_Buscar,89
"2025-03-10 16:42:52",CP01_AC02_Buscar,88
"2025-03-10 16:42:52",CP01_AC02_Buscar,106
"2025-03-10 16:42:52",CP01_AC02_Buscar,90
"2025-03-10 16:42:52",CP01_AC02_Buscar,89
"2025-03-10 16:42:53",CP01_AC01_Inventario,392
"2025-03-10 16:42:53",CP01_AC01_Inventario,357
"2025-03-10 16:42:53",CP01_AC01_Inventario,356
"2025-03-10 16:42:53",CP01_AC01_Inventario,394
"2025-03-10 16:42:54",CP01_AC01_Inventario,361
"2025-03-10 16:42:54",CP02_AC01_NuevaMascota,104
"2025-03-10 16:42:54",CP02_AC01_NuevaMascota,104
"2025-03-10 16:42:54",CP02_AC01_NuevaMascota,105
"2025-03-10 16:42:54",CP02_AC01_NuevaMascota,105
"2025-03-10 16:42:55",CP01_AC02_Buscar,89
"2025-03-10 16:42:55",CP01_AC02_Buscar,88
"2025-03-10 16:42:55",CP01_AC02_Buscar,89
"2025-03-10 16:42:55",CP01_AC02_Buscar,87
"2025-03-10 16:42:56",CP01_AC02_Buscar,89
"2025-03-10 16:42:56",CP01_AC01_Inventario,383
"2025-03-10 16:42:56",CP01_AC01_Inventario,424
"2025-03-10 16:42:56",CP01_AC01_Inventario,1560
"2025-03-10 16:42:56",CP01_AC01_Inventario,358
"2025-03-10 16:42:56",CP01_AC01_Inventario,360
"2025-03-10 16:42:57",CP01_AC01_Inventario,518
"2025-03-10 16:42:57",CP02_AC01_NuevaMascota,109
"2025-03-10 16:42:57",CP02_AC01_NuevaMascota,104
"2025-03-10 16:42:57",CP02_AC01_NuevaMascota,114
"2025-03-10 16:42:57",CP02_AC01_NuevaMascota,106
"2025-03-10 16:42:57",CP02_AC01_NuevaMascota,89
"2025-03-10 16:42:58",CP01_AC02_Buscar,97
"2025-03-10 16:42:58",CP01_AC02_Buscar,88
"2025-03-10 16:42:58",CP01_AC02_Buscar,88
"2025-03-10 16:42:58",CP01_AC02_Buscar,96
"2025-03-10 16:42:59",CP01_AC02_Buscar,87
"2025-03-10 16:42:59",CP01_AC01_Inventario,423
"2025-03-10 16:42:59",CP01_AC01_Inventario,440
"2025-03-10 16:42:59",CP01_AC01_Inventario,405
"2025-03-10 16:42:59",CP01_AC01_Inventario,365
"2025-03-10 16:43:00",CP01_AC01_Inventario,404
"2025-03-10 16:43:00",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:00",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:00",CP02_AC01_NuevaMascota,92
"2025-03-10 16:43:00",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:01",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:01",CP01_AC02_Buscar,89
"2025-03-10 16:43:01",CP01_AC02_Buscar,91
"2025-03-10 16:43:01",CP01_AC02_Buscar,88
"2025-03-10 16:43:01",CP01_AC02_Buscar,89
"2025-03-10 16:43:01",CP01_AC02_Buscar,87
"2025-03-10 16:43:02",CP01_AC02_Buscar,89
"2025-03-10 16:43:02",CP01_AC01_Inventario,423
"2025-03-10 16:43:02",CP01_AC01_Inventario,362
"2025-03-10 16:43:02",CP01_AC01_Inventario,465
"2025-03-10 16:43:02",CP01_AC01_Inventario,432
"2025-03-10 16:43:02",CP01_AC01_Inventario,366
"2025-03-10 16:43:03",CP01_AC01_Inventario,375
"2025-03-10 16:43:03",CP02_AC01_NuevaMascota,98
"2025-03-10 16:43:03",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:03",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:03",CP02_AC01_NuevaMascota,97
"2025-03-10 16:43:04",CP02_AC01_NuevaMascota,92
"2025-03-10 16:43:04",CP01_AC02_Buscar,88
"2025-03-10 16:43:04",CP01_AC02_Buscar,105
"2025-03-10 16:43:04",CP01_AC02_Buscar,89
"2025-03-10 16:43:04",CP01_AC02_Buscar,89
"2025-03-10 16:43:05",CP01_AC02_Buscar,88
"2025-03-10 16:43:05",CP01_AC01_Inventario,358
"2025-03-10 16:43:05",CP01_AC01_Inventario,427
"2025-03-10 16:43:05",CP01_AC01_Inventario,357
"2025-03-10 16:43:05",CP01_AC01_Inventario,418
"2025-03-10 16:43:06",CP01_AC01_Inventario,357
"2025-03-10 16:43:06",CP01_AC01_Inventario,401
"2025-03-10 16:43:06",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:06",CP02_AC01_NuevaMascota,88
"2025-03-10 16:43:06",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:06",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:06",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:07",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:07",CP01_AC02_Buscar,89
"2025-03-10 16:43:07",CP01_AC02_Buscar,89
"2025-03-10 16:43:07",CP01_AC02_Buscar,104
"2025-03-10 16:43:07",CP01_AC02_Buscar,106
"2025-03-10 16:43:07",CP01_AC02_Buscar,94
"2025-03-10 16:43:08",CP01_AC02_Buscar,91
"2025-03-10 16:43:08",CP01_AC01_Inventario,373
"2025-03-10 16:43:08",CP01_AC01_Inventario,426
"2025-03-10 16:43:08",CP01_AC01_Inventario,418
"2025-03-10 16:43:08",CP01_AC01_Inventario,383
"2025-03-10 16:43:09",CP01_AC01_Inventario,428
"2025-03-10 16:43:09",CP01_AC01_Inventario,356
"2025-03-10 16:43:09",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:09",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:09",CP02_AC01_NuevaMascota,92
"2025-03-10 16:43:09",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:10",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:10",CP01_AC02_Buscar,89
"2025-03-10 16:43:10",CP01_AC02_Buscar,88
"2025-03-10 16:43:10",CP01_AC02_Buscar,90
"2025-03-10 16:43:10",CP01_AC02_Buscar,88
"2025-03-10 16:43:10",CP01_AC02_Buscar,95
"2025-03-10 16:43:11",CP01_AC02_Buscar,99
"2025-03-10 16:43:11",CP01_AC01_Inventario,363
"2025-03-10 16:43:11",CP01_AC01_Inventario,354
"2025-03-10 16:43:11",CP01_AC01_Inventario,355
"2025-03-10 16:43:11",CP01_AC01_Inventario,422
"2025-03-10 16:43:11",CP01_AC01_Inventario,414
"2025-03-10 16:43:12",CP01_AC01_Inventario,358
"2025-03-10 16:43:12",CP01_AC01_Inventario,356
"2025-03-10 16:43:12",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:12",CP02_AC01_NuevaMascota,94
"2025-03-10 16:43:12",CP02_AC01_NuevaMascota,103
"2025-03-10 16:43:12",CP02_AC01_NuevaMascota,107
"2025-03-10 16:43:12",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:13",CP02_AC01_NuevaMascota,90
"2025-03-10 16:43:13",CP01_AC02_Buscar,89
"2025-03-10 16:43:13",CP01_AC02_Buscar,87
"2025-03-10 16:43:13",CP01_AC02_Buscar,89
"2025-03-10 16:43:13",CP01_AC02_Buscar,90
"2025-03-10 16:43:14",CP01_AC02_Buscar,99
"2025-03-10 16:43:14",CP01_AC02_Buscar,88
"2025-03-10 16:43:14",CP01_AC01_Inventario,396
"2025-03-10 16:43:14",CP01_AC01_Inventario,410
"2025-03-10 16:43:14",CP01_AC01_Inventario,360
"2025-03-10 16:43:14",CP01_AC01_Inventario,354
"2025-03-10 16:43:15",CP01_AC01_Inventario,360
"2025-03-10 16:43:15",CP01_AC01_Inventario,609
"2025-03-10 16:43:15",CP02_AC01_NuevaMascota,102
"2025-03-10 16:43:15",CP02_AC01_NuevaMascota,91
"2025-03-10 16:43:15",CP02_AC01_NuevaMascota,99
"2025-03-10 16:43:15",CP02_AC01_NuevaMascota,94
"2025-03-10 16:43:16",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:16",CP02_AC01_NuevaMascota,103
"2025-03-10 16:43:16",CP01_AC02_Buscar,89
"2025-03-10 16:43:16",CP01_AC02_Buscar,89
"2025-03-10 16:43:16",CP01_AC02_Buscar,93
"2025-03-10 16:43:16",CP01_AC02_Buscar,90
"2025-03-10 16:43:16",CP01_AC02_Buscar,88
"2025-03-10 16:43:17",CP01_AC02_Buscar,89
"2025-03-10 16:43:17",CP01_AC02_Buscar,91
"2025-03-10 16:43:17",CP01_AC01_Inventario,420
"2025-03-10 16:43:17",CP01_AC01_Inventario,364
"2025-03-10 16:43:17",CP01_AC01_Inventario,367
"2025-03-10 16:43:17",CP01_AC01_Inventario,400
"2025-03-10 16:43:17",CP01_AC01_Inventario,433
"2025-03-10 16:43:18",CP01_AC01_Inventario,457
"2025-03-10 16:43:18",CP01_AC01_Inventario,411
"2025-03-10 16:43:18",CP02_AC01_NuevaMascota,108
"2025-03-10 16:43:18",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:18",CP02_AC01_NuevaMascota,96
"2025-03-10 16:43:18",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:19",CP02_AC01_NuevaMascota,107
"2025-03-10 16:43:19",CP02_AC01_NuevaMascota,95
"2025-03-10 16:43:19",CP01_AC02_Buscar,101
"2025-03-10 16:43:19",CP01_AC02_Buscar,87
"2025-03-10 16:43:19",CP01_AC02_Buscar,126
"2025-03-10 16:43:19",CP01_AC02_Buscar,92
"2025-03-10 16:43:20",CP01_AC02_Buscar,97
"2025-03-10 16:43:20",CP01_AC02_Buscar,127
"2025-03-10 16:43:20",CP01_AC01_Inventario,471
"2025-03-10 16:43:20",CP01_AC01_Inventario,454
"2025-03-10 16:43:20",CP01_AC01_Inventario,439
"2025-03-10 16:43:20",CP01_AC01_Inventario,467
"2025-03-10 16:43:21",CP01_AC01_Inventario,535
"2025-03-10 16:43:21",CP01_AC01_Inventario,585
"2025-03-10 16:43:21",CP01_AC01_Inventario,571
"2025-03-10 16:43:21",CP02_AC01_NuevaMascota,146
"2025-03-10 16:43:21",CP02_AC01_NuevaMascota,98
"2025-03-10 16:43:21",CP02_AC01_NuevaMascota,141
"2025-03-10 16:43:21",CP02_AC01_NuevaMascota,134
"2025-03-10 16:43:21",CP02_AC01_NuevaMascota,107
"2025-03-10 16:43:22",CP02_AC01_NuevaMascota,110
"2025-03-10 16:43:22",CP02_AC01_NuevaMascota,142
"2025-03-10 16:43:22",CP01_AC02_Buscar,130
"2025-03-10 16:43:22",CP01_AC02_Buscar,130
"2025-03-10 16:43:22",CP01_AC02_Buscar,116
"2025-03-10 16:43:22",CP01_AC02_Buscar,97
"2025-03-10 16:43:22",CP01_AC02_Buscar,92
"2025-03-10 16:43:23",CP01_AC02_Buscar,103
"2025-03-10 16:43:23",CP01_AC02_Buscar,99
"2025-03-10 16:43:23",CP01_AC01_Inventario,358
"2025-03-10 16:43:23",CP01_AC01_Inventario,389
"2025-03-10 16:43:23",CP01_AC01_Inventario,357
"2025-03-10 16:43:23",CP01_AC01_Inventario,435
"2025-03-10 16:43:24",CP01_AC01_Inventario,440
"2025-03-10 16:43:24",CP01_AC01_Inventario,427
"2025-03-10 16:43:24",CP01_AC01_Inventario,361
"2025-03-10 16:43:24",CP02_AC01_NuevaMascota,97
"2025-03-10 16:43:24",CP02_AC01_NuevaMascota,95
"2025-03-10 16:43:24",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:24",CP02_AC01_NuevaMascota,105
"2025-03-10 16:43:25",CP02_AC01_NuevaMascota,100
"2025-03-10 16:43:25",CP02_AC01_NuevaMascota,96
"2025-03-10 16:43:25",CP01_AC02_Buscar,89
"2025-03-10 16:43:25",CP01_AC02_Buscar,87
"2025-03-10 16:43:25",CP01_AC02_Buscar,88
"2025-03-10 16:43:25",CP01_AC02_Buscar,89
"2025-03-10 16:43:25",CP01_AC02_Buscar,88
"2025-03-10 16:43:26",CP01_AC02_Buscar,90
"2025-03-10 16:43:26",CP01_AC02_Buscar,99
"2025-03-10 16:43:26",CP01_AC01_Inventario,361
"2025-03-10 16:43:26",CP01_AC01_Inventario,456
"2025-03-10 16:43:26",CP01_AC01_Inventario,415
"2025-03-10 16:43:26",CP01_AC01_Inventario,420
"2025-03-10 16:43:26",CP01_AC01_Inventario,358
"2025-03-10 16:43:27",CP01_AC01_Inventario,361
"2025-03-10 16:43:27",CP01_AC01_Inventario,361
"2025-03-10 16:43:27",CP02_AC01_NuevaMascota,87
"2025-03-10 16:43:27",CP01_AC01_Inventario,361
"2025-03-10 16:43:27",CP02_AC01_NuevaMascota,89
"2025-03-10 16:43:27",CP02_AC01_NuevaMascota,88
"2025-03-10 16:43:27",CP02_AC01_NuevaMascota,115
"2025-03-10 16:43:27",CP02_AC01_NuevaMascota,97
"2025-03-10 16:43:28",CP02_AC01_NuevaMascota,111
"2025-03-10 16:43:28",CP02_AC01_NuevaMascota,108
"2025-03-10 16:43:28",CP01_AC02_Buscar,88
"2025-03-10 16:43:28",CP01_AC02_Buscar,95
"2025-03-10 16:43:28",CP01_AC02_Buscar,87
"2025-03-10 16:43:28",CP01_AC02_Buscar,92
"2025-03-10 16:43:29",CP01_AC02_Buscar,105
"2025-03-10 16:43:29",CP01_AC02_Buscar,90
"2025-03-10 16:43:29",CP01_AC02_Buscar,89
"2025-03-10 16:43:29",CP01_AC01_Inventario,432
"2025-03-10 16:43:29",CP01_AC01_Inventario,424
"2025-03-10 16:43:29",CP01_AC01_Inventario,359
"2025-03-10 16:43:29",CP01_AC01_Inventario,408
"2025-03-10 16:43:30",CP01_AC01_Inventario,368
"2025-03-10 16:43:30",CP01_AC01_Inventario,376
"2025-03-10 16:43:30",CP02_AC01_NuevaMascota,97
"2025-03-10 16:43:30",CP01_AC01_Inventario,362
"2025-03-10 16:43:30",CP02_AC01_NuevaMascota,106
"2025-03-10 16:43:30",CP02_AC01_NuevaMascota,100
"2025-03-10 16:43:30",CP02_AC01_NuevaMascota,109
"2025-03-10 16:43:31",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:31",CP02_AC01_NuevaMascota,99
"2025-03-10 16:43:31",CP02_AC01_NuevaMascota,103
"2025-03-10 16:43:31",CP01_AC02_Buscar,90
"2025-03-10 16:43:31",CP01_AC02_Buscar,103
"2025-03-10 16:43:31",CP01_AC02_Buscar,88
"2025-03-10 16:43:31",CP01_AC02_Buscar,107
"2025-03-10 16:43:31",CP01_AC02_Buscar,118
"2025-03-10 16:43:32",CP01_AC02_Buscar,92
"2025-03-10 16:43:32",CP01_AC02_Buscar,211
"2025-03-10 16:43:32",CP01_AC01_Inventario,428
"2025-03-10 16:43:32",CP01_AC02_Buscar,89
"2025-03-10 16:43:32",CP01_AC01_Inventario,364
"2025-03-10 16:43:32",CP01_AC01_Inventario,358
"2025-03-10 16:43:32",CP01_AC01_Inventario,411
"2025-03-10 16:43:32",CP01_AC01_Inventario,412
"2025-03-10 16:43:33",CP01_AC01_Inventario,359
"2025-03-10 16:43:33",CP01_AC01_Inventario,394
"2025-03-10 16:43:33",CP01_AC01_Inventario,410
"2025-03-10 16:43:33",CP02_AC01_NuevaMascota,103
"2025-03-10 16:43:33",CP02_AC01_NuevaMascota,104
"2025-03-10 16:43:33",CP02_AC01_NuevaMascota,99
"2025-03-10 16:43:33",CP02_AC01_NuevaMascota,106
"2025-03-10 16:43:34",CP02_AC01_NuevaMascota,105
"2025-03-10 16:43:34",CP02_AC01_NuevaMascota,98
"2025-03-10 16:43:34",CP02_AC01_NuevaMascota,101
"2025-03-10 16:43:34",CP01_AC02_Buscar,89
"2025-03-10 16:43:34",CP01_AC02_Buscar,104
"2025-03-10 16:43:34",CP01_AC02_Buscar,88
"2025-03-10 16:43:34",CP01_AC02_Buscar,87
"2025-03-10 16:43:35",CP01_AC02_Buscar,88
"2025-03-10 16:43:35",CP01_AC02_Buscar,88
"2025-03-10 16:43:35",CP01_AC01_Inventario,360
"2025-03-10 16:43:35",CP01_AC02_Buscar,87
"2025-03-10 16:43:35",CP01_AC01_Inventario,429
"2025-03-10 16:43:35",CP01_AC01_Inventario,365
"2025-03-10 16:43:35",CP01_AC01_Inventario,359
"2025-03-10 16:43:36",CP01_AC01_Inventario,415
"2025-03-10 16:43:36",CP01_AC01_Inventario,353
"2025-03-10 16:43:36",CP01_AC01_Inventario,394
"2025-03-10 16:43:36",CP02_AC01_NuevaMascota,98
"2025-03-10 16:43:36",CP01_AC01_Inventario,359
"2025-03-10 16:43:36",CP02_AC01_NuevaMascota,115
"2025-03-10 16:43:36",CP02_AC01_NuevaMascota,105
"2025-03-10 16:43:36",CP02_AC01_NuevaMascota,108
"2025-03-10 16:43:36",CP02_AC01_NuevaMascota,88
"2025-03-10 16:43:37",CP02_AC01_NuevaMascota,95
"2025-03-10 16:43:37",CP02_AC01_NuevaMascota,95
"2025-03-10 16:43:37",CP01_AC02_Buscar,87
"2025-03-10 16:43:37",CP02_AC01_NuevaMascota,96
"2025-03-10 16:43:37",CP01_AC02_Buscar,90
"2025-03-10 16:43:37",CP01_AC02_Buscar,93
"2025-03-10 16:43:37",CP01_AC02_Buscar,89
"2025-03-10 16:43:37",CP01_AC02_Buscar,88
"2025-03-10 16:43:38",CP01_AC02_Buscar,90
"2025-03-10 16:43:38",CP01_AC02_Buscar,98
"2025-03-10 16:43:38",CP01_AC02_Buscar,99
"2025-03-10 16:43:38",CP01_AC01_Inventario,421
"2025-03-10 16:43:38",CP01_AC01_Inventario,357
"2025-03-10 16:43:38",CP01_AC01_Inventario,416
"2025-03-10 16:43:38",CP01_AC01_Inventario,361
"2025-03-10 16:43:39",CP01_AC01_Inventario,386
"2025-03-10 16:43:39",CP01_AC01_Inventario,430
